Date,Open,High,Low,Close,Adj_close,Volume,Ticker,MA_7,MA_21,MA_50,MA_200,Return,Volatility_21,Rsi_14,EMA_12,EMA_26,MACD,Signal,BB_MA20,BB_Upper,BB_Lower,Lag_1,Lag_5,Lag_10,Vol_change,Target
2020-09-11,2330.949951171875,2383.0,2330.14990234375,2374.10009765625,2207.603515625,4145424,TCS,2374.10009765625,2374.10009765625,2374.10009765625,2374.10009765625,0.0,0.0,50.0,2374.10009765625,2374.10009765625,0.0,0.0,,,,,,,0.0,1
2020-09-14,2384.10009765625,2505.75,2381.85009765625,2491.39990234375,2316.6767578125,7512131,TCS,2432.75,2432.75,2432.75,2432.75,0.04940811248999166,0.03493681138730086,99.99999999147484,2392.1462214543267,2382.788972077546,9.3572493767806,1.8714498753561202,,,,0.0,,,0.8121502167208952,0
2020-09-15,2491.39990234375,2538.0,2464.60009765625,2491.39990234375,2316.6767578125,7318770,TCS,2452.2999674479165,2452.2999674479165,2452.2999674479165,2452.2999674479165,0.0,0.028525787046248,99.99999998294967,2407.4160185142377,2390.8342261713387,16.581792342899007,4.813518368864698,,,,0.04940811248999166,,,-0.025739833344226803,1
2020-09-16,2488.949951171875,2507.60009765625,2477.300048828125,2503.0,2327.463623046875,3074003,TCS,2464.9749755859375,2464.9749755859375,2464.9749755859375,2464.9749755859375,0.004656056077283033,0.024028502917027527,99.99999997672613,2422.1212464351242,2399.142802010499,22.978444424625195,8.446503580016797,,,,0.0,,,-0.5799836584562706,0
2020-09-17,2480.0,2495.75,2450.60009765625,2460.949951171875,2288.36279296875,4828176,TCS,2464.169970703125,2464.169970703125,2464.169970703125,2464.169970703125,-0.01679985969961051,0.024836213383223987,75.40212876925115,2428.0948933177015,2403.721109355786,24.37378396191525,11.63195965639649,,,,0.004656056077283033,,,0.5706477840132231,0
2020-09-18,2485.0,2500.39990234375,2436.39990234375,2449.89990234375,2278.087158203125,4183256,TCS,2461.7916259765625,2461.7916259765625,2461.7916259765625,2461.7916259765625,-0.004490155853378086,0.022742968316523934,70.82412214743843,2431.44951009094,2407.141760688228,24.307749402712034,14.167117605659598,,,,-0.01679985969961051,0.0,,-0.1335742524713266,1
2020-09-21,2465.0,2504.89990234375,2452.14990234375,2465.300048828125,2292.407958984375,4598809,TCS,2462.2928292410716,2462.2928292410716,2462.2928292410716,2462.2928292410716,0.0062860308985042135,0.020763728613129175,73.10027441934383,2436.657285281276,2411.449782031924,25.207503249352158,16.37519473439811,,,,-0.004490155853378086,0.04940811248999166,,0.0993372148393501,1
2020-09-22,2485.0,2555.0,2458.0,2522.949951171875,2346.014404296875,7499613,TCS,2483.5570940290177,2469.874969482422,2469.874969482422,2469.874969482422,0.023384537866355748,0.020227880721749598,79.18051850777734,2449.9330800336757,2419.709053820068,30.22402621360743,19.144961030239976,,,,0.0062860308985042135,0.0,,0.6307728805436363,0
2020-09-23,2510.0,2519.85009765625,2409.0,2467.449951171875,2294.40625,7502280,TCS,2480.135672433036,2469.605523003472,2469.605523003472,2469.605523003472,-0.02199805825486989,0.021370927385095533,65.02975989922355,2452.6279832857063,2423.245416586869,29.38256669883731,21.192482163959443,,,,0.023384537866355748,0.004656056077283033,,0.00035561834990693875,0
2020-09-24,2450.0,2450.0,2302.60009765625,2332.25,2168.68896484375,8424708,TCS,2457.399972098214,2455.869970703125,2455.869970703125,2455.869970703125,-0.054793391496214094,0.027522183936083737,45.30565364690969,2434.1082935494437,2416.505015358212,17.603278191231766,20.47464136941391,,,,-0.02199805825486989,-0.01679985969961051,,0.12295302228122651,1
2020-09-25,2368.0,2440.0,2352.10009765625,2422.300048828125,2252.423095703125,8228267,TCS,2445.871407645089,2452.8181596235795,2452.8181596235795,2452.8181596235795,0.03861080451414933,0.028766456599734338,54.497942018510415,2432.2916405153946,2416.934277096724,15.357363418670502,19.451185779265227,,,,-0.054793391496214094,-0.004490155853378086,0.0,-0.02331724731587137,1
2020-09-28,2440.0,2444.0,2366.0,2426.300048828125,2256.142578125,4347166,TCS,2440.9214215959823,2450.6083170572915,2450.6083170572915,2450.6083170572915,0.0016513230893651087,0.027428207283839632,54.83511914870709,2431.369857178892,2417.628037965717,13.74181921317495,18.309312466047174,,,,0.03861080451414933,0.0062860308985042135,0.04940811248999166,-0.4716790303474595,1
2020-09-29,2434.85009765625,2511.050048828125,2426.300048828125,2488.39990234375,2313.887451171875,6995811,TCS,2446.4214215959823,2453.515362079327,2453.515362079327,2453.515362079327,0.025594465756870743,0.027052909125641,59.49491801706878,2440.143710281178,2422.8703982900156,17.273311991162245,18.102112371070188,,,,0.0016513230893651087,0.023384537866355748,0.0,0.6092808510188017,1
2020-09-30,2489.0,2505.0,2460.0,2492.300048828125,2317.513427734375,3917166,TCS,2450.278564453125,2456.2856968470983,2456.2856968470983,2456.2856968470983,0.0015673310711439292,0.025999474646777893,59.75569011963264,2448.1677623653236,2428.0133353669125,20.154426998411054,18.512575296538362,,,,0.025594465756870743,-0.02199805825486989,0.004656056077283033,-0.4400697789005449,1
2020-10-01,2510.0,2540.0,2492.300048828125,2523.449951171875,2346.47900390625,2610337,TCS,2450.3499930245534,2460.7633138020833,2460.7633138020833,2460.7633138020833,0.01249845593767751,0.025154389406935485,61.72382956212031,2459.7496375663313,2435.0827143154283,24.666923250902983,19.743444887411286,,,,0.0015673310711439292,-0.054793391496214094,-0.01679985969961051,-0.33361593560242275,1
2020-10-05,2620.0,2728.10009765625,2603.050048828125,2705.800048828125,2516.041015625,17412105,TCS,2484.4000069754466,2476.078109741211,2476.078109741211,2476.078109741211,0.07226222084237,0.029641702201225542,65.27066038018845,2497.6035469912226,2455.1358502052576,42.46769678596502,24.288295267122034,,,,0.01249845593767751,0.03861080451414933,-0.004490155853378086,5.6704433182382195,1
2020-10-06,2736.0,2736.0,2650.10009765625,2714.300048828125,2523.9453125,9846367,TCS,2538.978585379464,2490.0911649816176,2490.0911649816176,2490.0911649816176,0.003141399898962005,0.0287311396820448,65.68614142913205,2530.941470350746,2474.333198251396,56.60827209934996,30.752290633567622,,,,0.07226222084237,0.0016513230893651087,0.0062860308985042135,-0.4345102444534994,1
2020-10-07,2742.0,2770.0,2703.0,2735.949951171875,2544.076904296875,9656101,TCS,2583.785714285714,2503.749986436632,2503.749986436632,2503.749986436632,0.00797623768716993,0.02787339961336478,66.16473077515397,2562.4812366309197,2493.7122169862464,68.76901964467334,38.35563643578877,,,,0.003141399898962005,0.025594465756870743,0.023384537866355748,-0.019323472302017586,1
2020-10-08,2800.0,2885.0,2800.0,2825.699951171875,2627.5322265625,19839329,TCS,2640.842843191964,2520.6947214226975,2520.6947214226975,2520.6947214226975,0.032803962646158036,0.027666403451769996,73.73901723355227,2602.976423483374,2518.3039009999966,84.67252248337763,47.619013645306545,,,,0.00797623768716993,0.0015673310711439292,-0.02199805825486989,1.0545900462308753,0
2020-10-09,2810.0,2829.85009765625,2780.0,2812.949951171875,2615.677001953125,7739245,TCS,2687.2071358816966,2535.307482910156,2535.307482910156,2535.307482910156,-0.004512156357829977,0.027111883495737017,73.57621089978278,2635.2800431277587,2540.1295343460615,95.15050878169723,57.125312672584684,2535.307482910156,2820.4563897093794,2250.1585761109327,0.032803962646158036,0.01249845593767751,-0.054793391496214094,-0.6099038934230084,1
2020-10-12,2815.5,2854.0,2800.75,2830.0,2631.531005859375,4623203,TCS,2735.4499860491073,2549.3404599144346,2549.3404599144346,2549.3404599144346,0.006061269885382137,0.026432463770927225,73.63271255846072,2665.236959569642,2561.6014206907976,103.63553887884427,66.4273579138366,2558.1024780273438,2861.3083809702493,2254.896575084438,-0.004512156357829977,0.07226222084237,0.03861080451414933,-0.4026286801877961,0
2020-10-13,2845.0,2854.89990234375,2812.199951171875,2826.550048828125,2628.322509765625,4209878,TCS,2778.75,2570.885695684524,2561.9408957741475,2561.9408957741475,-0.0012190640183303847,0.026453922716026874,71.15975319101238,2690.054357917101,2581.227244997266,108.82711291983469,74.90730891503623,2574.8599853515625,2898.875653144876,2250.844317558249,0.006061269885382137,0.003141399898962005,0.0016513230893651087,-0.08940230398708426,0
2020-10-14,2842.0,2842.0,2787.550048828125,2809.60009765625,2623.7001953125,4395936,TCS,2793.5785784040177,2586.0380859375,2572.708687160326,2572.708687160326,-0.005996692391455172,0.024905467055357854,75.20072328968527,2708.446010184662,2598.1437526016352,110.30225758302686,81.98629864863436,2590.7699951171876,2928.4895901998066,2253.0504000345686,-0.0012190640183303847,0.00797623768716993,0.025594465756870743,0.04419558001443269,0
2020-10-15,2811.0,2827.75,2727.0,2740.60009765625,2559.26611328125,6629355,TCS,2797.3357282366073,2597.904761904762,2579.7041625976562,2579.7041625976562,-0.024558655182835176,0.025764664108795125,83.32654554099771,2713.392792872599,2608.6960744575326,104.69671841506624,86.52838260192074,2602.65,2944.0655642096535,2261.2344357903467,-0.005996692391455172,0.032803962646158036,0.0015673310711439292,0.508064494114564,1
2020-10-16,2750.10009765625,2771.64990234375,2731.300048828125,2763.300048828125,2580.463623046875,5273773,TCS,2801.2428850446427,2610.300002325149,2587.047998046875,2587.047998046875,0.00828283965664589,0.025775359737893303,81.2672035494192,2721.070832250372,2620.1482207072063,100.92261154316566,89.40722839016973,2617.7675048828123,2959.540142703793,2275.9948670618314,-0.024558655182835176,-0.004512156357829977,0.01249845593767751,-0.204481733139951,0
2020-10-19,2774.0,2774.0,2706.60009765625,2711.550048828125,2532.138671875,3331194,TCS,2784.9357561383927,2622.2333403087796,2591.8365384615386,2591.8365384615386,-0.018727607963509585,0.02586030756339664,74.04941351788915,2719.606096339257,2626.918726493941,92.68736984531597,90.063256681199,2630.8500122070313,2965.524446131816,2296.1755782822465,0.00828283965664589,0.006061269885382137,0.07226222084237,-0.3683471017808313,1
2020-10-20,2725.0,2759.89990234375,2717.949951171875,2739.0,2557.77197265625,3406273,TCS,2774.3714773995534,2636.0000116257443,2597.287037037037,2597.287037037037,0.010123342987431894,0.02579027109146288,72.43912439826606,2722.5897738255253,2635.2210430499454,87.36873077557993,89.52435150007518,2644.535009765625,2973.0330865860615,2316.0369329451887,-0.018727607963509585,-0.0012190640183303847,0.003141399898962005,0.022538164994293286,0
